UTC,Open,High,Low,Close,Volume
27.01.2025 17:06:00.000 UTC,2734.295,2734.845,2733.905,2734.395,0.03942
27.01.2025 17:07:00.000 UTC,2734.345,2734.345,2733.235,2733.235,0.02433
27.01.2025 17:08:00.000 UTC,2733.185,2733.395,2732.705,2732.905,0.03063
27.01.2025 17:09:00.000 UTC,2732.895,2732.985,2732.385,2732.605,0.02508
27.01.2025 17:10:00.000 UTC,2732.625,2733.445,2732.265,2732.565,0.02976
27.01.2025 17:11:00.000 UTC,2732.545,2732.905,2731.925,2732.035,0.02412
27.01.2025 17:12:00.000 UTC,2732.005,2732.095,2730.529,2730.529,0.05163
27.01.2025 17:13:00.000 UTC,2730.529,2731.865,2730.529,2731.305,0.05123
27.01.2025 17:14:00.000 UTC,2731.335,2731.755,2730.735,2731.005,0.02697
27.01.2025 17:15:00.000 UTC,2730.925,2733.098,2730.818,2732.498,0.03483
27.01.2025 17:16:00.000 UTC,2732.698,2732.915,2732.098,2732.598,0.01608
27.01.2025 17:17:00.000 UTC,2732.598,2732.598,2731.505,2731.505,0.01452
27.01.2025 17:18:00.000 UTC,2731.535,2733.075,2731.445,2732.365,0.02634
27.01.2025 17:19:00.000 UTC,2732.395,2732.545,2731.335,2731.625,0.02376
27.01.2025 17:20:00.000 UTC,2731.655,2732.565,2731.535,2732.565,0.03187
27.01.2025 17:21:00.000 UTC,2732.545,2733.845,2732.525,2733.465,0.03933
27.01.2025 17:22:00.000 UTC,2733.595,2734.455,2733.535,2734.375,0.04452
27.01.2025 17:23:00.000 UTC,2734.355,2734.945,2733.875,2734.945,0.03624
27.01.2025 17:24:00.000 UTC,2734.945,2735.195,2734.725,2735.075,0.0324
27.01.2025 17:25:00.000 UTC,2735.025,2735.215,2734.675,2734.945,0.02904
27.01.2025 17:26:00.000 UTC,2734.915,2735.035,2734.175,2734.935,0.01812
27.01.2025 17:27:00.000 UTC,2734.955,2735.695,2734.445,2735.435,0.02364
27.01.2025 17:28:00.000 UTC,2735.405,2735.815,2734.715,2734.815,0.01779
27.01.2025 17:29:00.000 UTC,2734.845,2735.515,2734.845,2735.505,0.01488
27.01.2025 17:30:00.000 UTC,2735.515,2735.915,2735.475,2735.785,0.0234
27.01.2025 17:31:00.000 UTC,2735.795,2736.285,2735.635,2736.125,0.02868
27.01.2025 17:32:00.000 UTC,2736.125,2736.625,2735.545,2736.435,0.02742
27.01.2025 17:33:00.000 UTC,2736.435,2736.485,2735.725,2735.975,0.02772
27.01.2025 17:34:00.000 UTC,2735.915,2736.375,2735.715,2735.905,0.0144
27.01.2025 17:35:00.000 UTC,2735.815,2736.735,2735.705,2736.425,0.01506
27.01.2025 17:36:00.000 UTC,2736.375,2736.835,2735.945,2736.455,0.02232
27.01.2025 17:37:00.000 UTC,2736.455,2736.555,2735.195,2735.425,0.015
27.01.2025 17:38:00.000 UTC,2735.655,2735.685,2734.795,2734.885,0.01452
27.01.2025 17:39:00.000 UTC,2734.865,2734.925,2733.955,2734.335,0.01854
27.01.2025 17:40:00.000 UTC,2734.325,2734.345,2733.485,2733.565,0.01632
27.01.2025 17:41:00.000 UTC,2733.595,2733.655,2732.855,2732.875,0.01152
27.01.2025 17:42:00.000 UTC,2732.825,2733.545,2732.775,2733.325,0.01608
27.01.2025 17:43:00.000 UTC,2733.355,2733.355,2732.295,2732.535,0.018
27.01.2025 17:44:00.000 UTC,2732.565,2733.295,2732.495,2733.225,0.02196
27.01.2025 17:45:00.000 UTC,2733.255,2734.015,2733.245,2733.835,0.02121
27.01.2025 17:46:00.000 UTC,2733.875,2734.225,2733.465,2734.065,0.02001
27.01.2025 17:47:00.000 UTC,2734.045,2735.475,2734.025,2735.385,0.02328
27.01.2025 17:48:00.000 UTC,2735.385,2735.485,2734.395,2734.695,0.01674
27.01.2025 17:49:00.000 UTC,2734.575,2735.325,2734.505,2735.105,0.01995
27.01.2025 17:50:00.000 UTC,2735.105,2735.185,2734.515,2735.125,0.0192
27.01.2025 17:51:00.000 UTC,2735.185,2735.185,2734.685,2734.885,0.0156
27.01.2025 17:52:00.000 UTC,2734.955,2735.105,2734.405,2734.625,0.01794
27.01.2025 17:53:00.000 UTC,2734.635,2734.915,2734.105,2734.835,0.0186
27.01.2025 17:54:00.000 UTC,2734.865,2735.095,2734.605,2734.825,0.02088
27.01.2025 17:55:00.000 UTC,2734.825,2735.295,2734.495,2734.695,0.0156
27.01.2025 17:56:00.000 UTC,2734.695,2735.295,2734.695,2734.705,0.01428
27.01.2025 17:57:00.000 UTC,2734.695,2735.125,2734.525,2734.565,0.02118
27.01.2025 17:58:00.000 UTC,2734.565,2734.655,2734.205,2734.445,0.03237
27.01.2025 17:59:00.000 UTC,2734.355,2734.355,2733.515,2733.585,0.027
27.01.2025 18:00:00.000 UTC,2733.565,2733.575,2732.925,2733.365,0.02661
27.01.2025 18:01:00.000 UTC,2733.365,2733.685,2733.095,2733.595,0.0186
